State,Year,Population
Alabama,2008,4718206
Alabama,2009,4757938
Alabama,2010,4788095
Alabama,2011,4812576
Alabama,2012,4839947
Alabama,2013,4865253
Alabama,2014,4887757
Alabama,2015,4909177
Alabama,2016,4931579
Alabama,2017,4953096
Alabama,2018,4977088
Alabama,2019,5003778
Alabama,2020,5032962
Alabama,2021,5050058
Alabama,2022,5076868
Alabama,2023,5117850
Alabama,2024,5163055
Alaska,2008,687455
Alaska,2009,698895
Alaska,2010,714015
Alaska,2011,722513
Alaska,2012,731106
Alaska,2013,738054
Alaska,2014,737634
Alaska,2015,739120
Alaska,2016,743397
Alaska,2017,741937
Alaska,2018,737710
Alaska,2019,734820
Alaska,2020,732906
Alaska,2021,734590
Alaska,2022,733659
Alaska,2023,734654
Alaska,2024,736537
Arizona,2008,6280362
Arizona,2009,6343154
Arizona,2010,6401304
Arizona,2011,6443158
Arizona,2012,6501800
Arizona,2013,6555926
Arizona,2014,6629890
Arizona,2015,6705607
Arizona,2016,6793278
Arizona,2017,6872380
Arizona,2018,6964300
Arizona,2019,7067695
Arizona,2020,7186647
Arizona,2021,7274022
Arizona,2022,7370065
Arizona,2023,7452073
Arizona,2024,7556424
Arkansas,2008,2874554
Arkansas,2009,2896843
Arkansas,2010,2921546
Arkansas,2011,2938773
Arkansas,2012,2948793
Arkansas,2013,2954563
Arkansas,2014,2961050
Arkansas,2015,2970210
Arkansas,2016,2980475
Arkansas,2017,2990702
Arkansas,2018,2997195
Arkansas,2019,3004206
Arkansas,2020,3014399
Arkansas,2021,3027127
Arkansas,2022,3047429
Arkansas,2023,3069856
Arkansas,2024,3096080
California,2008,36604337
California,2009,36961229
California,2010,37322523
California,2011,37651212
California,2012,37971412
California,2013,38292557
California,2014,38637421
California,2015,38966939
California,2016,39223789
California,2017,39424315
California,2018,39535920
California,2019,39547995
California,2020,39527808
California,2021,39152927
California,2022,39125347
California,2023,39181667
California,2024,39364774
Colorado,2008,4889730
Colorado,2009,4972195
Colorado,2010,5046928
Colorado,2011,5118837
Colorado,2012,5188139
Colorado,2013,5262801
Colorado,2014,5342212
Colorado,2015,5441452
Colorado,2016,5528510
Colorado,2017,5599635
Colorado,2018,5676918
Colorado,2019,5735797
Colorado,2020,5786873
Colorado,2021,5814368
Colorado,2022,5853355
Colorado,2023,5912240
Colorado,2024,5988502
Connecticut,2008,3545579
Connecticut,2009,3561807
Connecticut,2010,3580281
Connecticut,2011,3594181
Connecticut,2012,3605215
Connecticut,2013,3610238
Connecticut,2014,3614584
Connecticut,2015,3611891
Connecticut,2016,3607614
Connecticut,2017,3607550
Connecticut,2018,3611229
Connecticut,2019,3607133
Connecticut,2020,3579643
Connecticut,2021,3607765
Connecticut,2022,3618707
Connecticut,2023,3641369
Connecticut,2024,3674449
Delaware,2008,883874
Delaware,2009,891730
Delaware,2010,899773
Delaware,2011,908220
Delaware,2012,916654
Delaware,2013,925704
Delaware,2014,935278
Delaware,2015,944716
Delaware,2016,953146
Delaware,2017,961604
Delaware,2018,971152
Delaware,2019,981340
Delaware,2020,991890
Delaware,2021,1005130
Delaware,2022,1020279
Delaware,2023,1035354
Delaware,2024,1050123
District of Columbia,2008,580236
District of Columbia,2009,592228
District of Columbia,2010,604718
District of Columbia,2011,617465
District of Columbia,2012,630643
District of Columbia,2013,644203
District of Columbia,2014,653986
District of Columbia,2015,665135
District of Columbia,2016,673428
District of Columbia,2017,680670
District of Columbia,2018,685476
District of Columbia,2019,687320
District of Columbia,2020,670958
District of Columbia,2021,669637
District of Columbia,2022,674501
District of Columbia,2023,682559
District of Columbia,2024,691310
Florida,2008,18527305
Florida,2009,18652644
Florida,2010,18842405
Florida,2011,19036879
Florida,2012,19268256
Florida,2013,19502928
Florida,2014,19790139
Florida,2015,20140379
Florida,2016,20533473
Florida,2017,20868335
Florida,2018,21131181
Florida,2019,21353320
Florida,2020,21591325
Florida,2021,21836698
Florida,2022,22413989
Florida,2023,22929248
Florida,2024,23265838
Georgia,2008,9504843
Georgia,2009,9620846
Georgia,2010,9712616
Georgia,2011,9805666
Georgia,2012,9907250
Georgia,2013,9980892
Georgia,2014,10078133
Georgia,2015,10191912
Georgia,2016,10318636
Georgia,2017,10428854
Georgia,2018,10532841
Georgia,2019,10643103
Georgia,2020,10732595
Georgia,2021,10793038
Georgia,2022,10929992
Georgia,2023,11063669
Georgia,2024,11204208
Hawaii,2008,1332213
Hawaii,2009,1346717
Hawaii,2010,1365117
Hawaii,2011,1385141
Hawaii,2012,1405255
Hawaii,2013,1423345
Hawaii,2014,1434323
Hawaii,2015,1446452
Hawaii,2016,1456816
Hawaii,2017,1458161
Hawaii,2018,1459965
Hawaii,2019,1456943
Hawaii,2020,1451130
Hawaii,2021,1446909
Hawaii,2022,1437812
Hawaii,2023,1434950
Hawaii,2024,1434952
Idaho,2008,1534320
Idaho,2009,1554439
Idaho,2010,1571339
Idaho,2011,1586880
Idaho,2012,1600611
Idaho,2013,1618841
Idaho,2014,1641124
Idaho,2015,1663458
Idaho,2016,1697093
Idaho,2017,1734888
Idaho,2018,1769305
Idaho,2019,1808378
Idaho,2020,1849328
Idaho,2021,1904855
Idaho,2022,1942951
Idaho,2023,1970497
Idaho,2024,2000872
Illinois,2008,12747038
Illinois,2009,12796778
Illinois,2010,12845460
Illinois,2011,12892409
Illinois,2012,12927420
Illinois,2013,12959880
Illinois,2014,12968905
Illinois,2015,12963110
Illinois,2016,12944999
Illinois,2017,12922894
Illinois,2018,12887397
Illinois,2019,12849440
Illinois,2020,12795348
Illinois,2021,12703354
Illinois,2022,12609577
Illinois,2023,12633389
Illinois,2024,12703033
Indiana,2008,6424806
Indiana,2009,6459325
Indiana,2010,6491385
Indiana,2011,6521409
Indiana,2012,6546485
Indiana,2013,6581401
Indiana,2014,6610174
Indiana,2015,6628925
Indiana,2016,6658719
Indiana,2017,6686218
Indiana,2018,6725960
Indiana,2019,6761818
Indiana,2020,6790290
Indiana,2021,6814223
Indiana,2022,6841491
Indiana,2023,6881373
Indiana,2024,6934754
Iowa,2008,3016734
Iowa,2009,3032870
Iowa,2010,3051473
Iowa,2011,3070048
Iowa,2012,3082748
Iowa,2013,3102460
Iowa,2014,3121790
Iowa,2015,3136310
Iowa,2016,3149607
Iowa,2017,3162752
Iowa,2018,3171540
Iowa,2019,3183858
Iowa,2020,3191081
Iowa,2021,3199037
Iowa,2022,3201890
Iowa,2023,3214739
Iowa,2024,3230454
Kansas,2008,2808076
Kansas,2009,2832704
Kansas,2010,2858835
